,id_plataform,type,title,release_year,rating,duration,score
15221,n,movie,four sisters before the wedding,2020,TV-MA,116 min,27
15222,n,movie,into the beat,2020,TV-14,102 min,60
15223,n,tv show,love naggers,2021,TV-14,1 Season,66
15224,n,movie,rush,2013,R,123 min,25
15225,n,movie,synchronic,2020,R,102 min,47
15226,n,movie,the zookeeper's wife,2017,PG-13,127 min,37
15227,n,movie,time trap,2017,TV-14,88 min,67
15228,n,movie,tuesdays & fridays,2021,TV-14,106 min,59
15229,n,tv show,dancing angels,2016,TV-PG,1 Season,53
15230,n,movie,dark city beneath the beat,2020,TV-MA,65 min,100
15231,n,tv show,durarara!!,2016,TV-MA,1 Season,66
15232,n,movie,gantz:o,2016,TV-MA,96 min,96
15233,n,tv show,garth brooks: the road i’m on,2019,TV-PG,1 Season,34
15234,n,tv show,gilmore girls,2006,TV-14,7 Seasons,91
15235,n,tv show,high-rise invasion,2021,TV-MA,1 Season,46
15236,n,tv show,next in fashion,2020,TV-14,1 Season,40
15237,n,movie,only mine,2019,TV-14,88 min,67
15238,n,tv show,peasants rebellion,2018,TV-14,1 Season,18
15239,n,tv show,power players,2020,TV-Y,3 Seasons,83
15240,n,tv show,ricky zoom,2019,TV-Y,1 Season,1
15241,n,movie,ride or die,2021,TV-MA,143 min,31
15242,n,tv show,sonic x,2003,TV-Y7,2 Seasons,18
15243,n,movie,the master,2012,R,137 min,83
15244,n,movie,time is illmatic,2014,TV-MA,75 min,53
15245,n,movie,wave of cinema: one day we'll talk about today,2020,TV-14,71 min,74
15246,n,movie,zoot suit,1981,R,103 min,88
15247,n,tv show,ajaibnya cinta,2015,TV-PG,1 Season,79
15248,n,tv show,dad stop embarrassing me!,2021,TV-14,1 Season,89
15249,n,tv show,fate: the winx saga,2021,TV-MA,1 Season,11
15250,n,tv show,house of cards,2018,TV-MA,6 Seasons,65
15251,n,tv show,indian matchmaking,2020,TV-14,1 Season,61
15252,n,tv show,jeffrey epstein: filthy rich,2020,TV-MA,1 Season,64
15253,n,tv show,law school,2021,TV-14,1 Season,13
15254,n,tv show,living with yourself,2019,TV-MA,1 Season,25
15255,n,tv show,signal,2016,TV-MA,1 Season,81
15256,n,tv show,slasher,2019,TV-MA,3 Seasons,34
15257,n,movie,the soul,2021,TV-MA,130 min,27
15258,n,tv show,the underclass,2020,TV-MA,1 Season,15
15259,n,tv show,unnatural selection,2019,TV-MA,1 Season,100
15260,n,movie,uppena,2020,TV-14,145 min,10
15261,n,movie,why did you kill me?,2021,TV-MA,84 min,8
15262,n,movie,motu patlu in hong kong: kung fu kings 3,2017,TV-Y7,84 min,3
15263,n,movie,motu patlu in the city of gold,2018,TV-Y7,77 min,76
15264,n,movie,motu patlu kung fu kings 4 the challenge of kung fu brothers,2018,TV-Y7,86 min,88
15265,n,movie,motu patlu the superheroes – super villains from mars,2019,TV-Y7,79 min,1
15266,n,tv show,my love: six stories of true love,2021,TV-PG,1 Season,14
15267,n,movie,shiva vs autobots,2018,TV-Y7,80 min,27
15268,n,movie,shiva: journey to plunotaria,2019,TV-Y7,81 min,20
15269,n,movie,shiva: the secret world of vedas city,2017,TV-Y,78 min,92
15270,n,tv show,the baker and the beauty,2020,TV-PG,1 Season,29
15271,n,movie,new gods: nezha reborn,2021,TV-14,118 min,49
15272,n,tv show,"nicky, ricky, dicky & dawn",2018,TV-G,4 Seasons,14
15273,n,tv show,don't be the first one,2021,TV-14,1 Season,92
15274,n,movie,the stand-in,2020,R,102 min,25
15275,n,tv show,heaven official's blessing,2020,TV-14,1 Season,46
15276,n,movie,night in paradise,2021,TV-MA,132 min,84
15277,n,movie,ojukokoro: greed,2016,TV-MA,108 min,8
15278,n,movie,roohi,2021,TV-14,133 min,76
15279,n,movie,thunder force,2021,PG-13,107 min,83
15280,n,movie,two distant strangers,2021,TV-MA,32 min,89
15281,n,movie,story of kale: when someone's in love,2020,TV-PG,78 min,85
15282,n,tv show,the way of the househusband,2021,TV-MA,1 Season,61
15283,n,movie,dolly parton: a musicares tribute,2021,TV-PG,55 min,28
15284,n,tv show,the big day,2021,TV-14,2 Seasons,4
15285,n,tv show,the wedding coach,2021,TV-MA,1 Season,84
15286,n,tv show,this is a robbery: the world's biggest art heist,2021,TV-MA,1 Season,33
15287,n,movie,the last kids on earth: happy apocalypse to you,2021,TV-Y7,92 min,8
15288,n,movie,coded bias,2020,TV-MA,86 min,21
15289,n,movie,mandela,2021,TV-14,140 min,3
15290,n,movie,the fisherman's diary,2020,TV-MA,143 min,9
15291,n,movie,what lies below,2020,TV-MA,88 min,56
15292,n,movie,escape from planet earth,2013,PG,89 min,26
15293,n,movie,accepted,2006,PG-13,93 min,75
15294,n,movie,air strike,2018,R,97 min,46
15295,n,movie,an american girl: mckenna shoots for the stars,2012,TV-Y,94 min,19
15296,n,movie,concrete cowboy,2021,R,112 min,26
15297,n,movie,cross: rise of the villains,2019,R,100 min,1
15298,n,movie,god calling,2018,TV-MA,120 min,89
15299,n,movie,irul,2021,TV-MA,91 min,37
15300,n,movie,just say yes,2021,TV-MA,98 min,86
15301,n,movie,madame claude,2021,TV-MA,113 min,91
15302,n,movie,wild child,2008,PG-13,98 min,74
15303,n,movie,woody woodpecker,2017,PG,91 min,70
15304,n,movie,2012,2009,PG-13,158 min,63
15305,n,movie,3 idiots,2009,PG-13,164 min,33
15306,n,movie,ferrari ki sawaari,2012,TV-PG,133 min,95
15307,n,tv show,glimpses of a future,2020,TV-PG,1 Season,22
15308,n,movie,ibrahim a fate to define,2019,TV-PG,75 min,44
15309,n,movie,insidious,2010,PG-13,103 min,27
15310,n,movie,into the grizzly maze,2015,R,90 min,72
15311,n,movie,kingsglaive: final fantasy xv,2016,PG-13,116 min,66
15312,n,movie,legally blonde,2001,PG-13,96 min,56
15313,n,movie,madam chief minister,2020,TV-14,121 min,13
15314,n,tv show,magical andes,2021,TV-G,2 Seasons,13
15315,n,movie,maximum risk,1996,R,101 min,95
15316,n,tv show,murder maps,2017,TV-MA,2 Seasons,91
